num_total_cells,total_non_ran_equipment,has_shared_ran,ran_vendor_type,mast_group,ps_traffic_mb,kwh_expected,noise_std,kwh_expected_noise
16,0,1,Vendor A,Tower,12689327.98640539,3412.13,136.48520000000002,3480.602099243636
21,5,0,Vendor B,Tower,22038452.511682533,3585.87,143.4348,3566.0928275636056
25,1,1,Vendor A,Tower,62494410.56767703,5070.94,202.83759999999998,5204.032190122504
2,0,0,Vendor B,Rooftop,1863875.0054403115,784.96,23.5488,821.6575124912712
18,0,0,Vendor B,Tower,3166290.6997761633,2252.84,90.1136,2231.838103282859
18,0,0,Vendor B,Tower,4457643.520934189,2252.84,90.1136,2231.8395689558974
27,0,1,Vendor B,Tower,22032086.786872644,2839.8,113.59200000000001,3024.972921215425
27,8,1,Vendor B,Tower,63182917.92857242,4599.8,183.99200000000002,4743.191462456708
16,0,0,Vendor A,Other,18606440.1380361,3245.3700000000003,105.47452500000001,3196.228265770758
19,1,0,Vendor A,Tower,6246957.945857593,3899.3900000000003,155.97560000000001,3984.9411027214055
21,0,1,Vendor B,Tower,31328677.939031687,2315.4,92.616,2272.8754571196905
30,8,1,Vendor B,Rooftop,49660094.327061765,5930.0,177.9,5847.722799411116
15,2,1,Vendor B,Tower,6280210.191304235,2231.0,89.24,2252.697543479805
18,0,1,Vendor B,Tower,3184373.4013285763,2053.2,82.128,1901.9284439111973
21,0,0,Vendor B,Tower,22151161.770017095,2582.72,103.30879999999999,2410.5294058442955
21,0,0,Vendor B,Tower,15474164.13259986,2582.72,103.30879999999999,2525.279137151774
24,0,0,Vendor B,Tower,42692749.3560651,2912.6,116.504,2796.959427104977
5,0,0,Vendor B,Rooftop,0.0,974.26,29.2278,983.4881888464417
25,0,1,Vendor A,Tower,35934676.43184277,4803.53,192.1412,4632.1915881263385
4,0,0,Vendor B,Rooftop,328145.04378779826,911.16,27.334799999999998,873.361362443597
15,0,0,Vendor A,Other,7430462.255904058,3043.9100000000003,98.92707500000002,3192.411087775231
18,0,1,Vendor B,Pole,1579758.6822750214,1685.82,33.7164,1678.224797016083
4,0,0,Vendor B,Rooftop,0.0,911.16,27.334799999999998,913.0077409570114
18,0,1,Vendor A,Tower,14599993.436078453,3721.33,148.8532,3515.181654825522
22,0,0,Vendor A,Tower,16916753.29429051,4213.51,168.5404,4122.751253907991
20,0,1,Vendor A,Rooftop,2287124.8011476845,4562.97,136.8891,4578.179385406297
18,0,0,Vendor A,Tower,24918828.545252845,3566.19,142.6476,3405.725738367166
27,0,1,Vendor B,Rooftop,39438879.04636339,3801.0,114.03,3844.0831829436447
21,0,0,Vendor B,Other,5676351.8850410795,2297.5299999999997,74.669725,2253.115388009675
21,0,1,Vendor B,Tower,34400232.02245554,2315.4,92.616,2288.541485585887
16,1,0,Vendor A,Tower,11453704.375173382,3413.9,136.556,3332.714270739797
18,0,0,Vendor B,Tower,9805141.380710028,2252.84,90.1136,2426.094517258881
27,0,1,Vendor B,Tower,26251130.514513638,2839.8,113.59200000000001,2838.267237045721
18,1,0,Vendor A,Rooftop,15849091.090235172,3696.87,110.9061,3581.405022561892
16,0,0,Vendor B,Tower,14487308.568016682,2032.9199999999998,81.3168,2100.9192344481567
19,1,1,Vendor A,Rooftop,10090538.788882347,4513.27,135.3981,4350.960549590414
24,0,0,Vendor B,Tower,7820427.871106703,2912.6,116.504,2937.0353753502386
24,0,1,Vendor B,Tower,33434517.081446722,2577.6000000000004,103.10400000000001,2383.2662683436483
27,0,1,Vendor A,Disguised,38723110.1878217,4770.93,166.98255000000003,4554.222127208002
24,1,1,Vendor B,Tower,48440359.85348222,2797.6000000000004,111.90400000000001,2819.71652317902
16,0,0,Vendor A,Tower,7450170.815488007,3242.53,129.7012,3339.738640186893
18,1,0,Vendor A,Tower,6915273.085739233,3737.56,149.5024,3763.2679793039133
21,0,1,Vendor B,Tower,13306014.906432966,2315.4,92.616,2304.7138544222357
19,0,1,Vendor B,Rooftop,6384883.368986512,2817.0,84.50999999999999,2791.6683109128567
21,0,1,Vendor B,Disguised,20273695.491547134,2719.86,95.19510000000001,2582.691671793224
9,0,0,Vendor A,Tower,781960.671835369,2109.7200000000003,84.38880000000002,2049.839441625523
3,0,0,Vendor B,Rooftop,63397.67737568403,848.06,25.441799999999997,836.4211254914209
8,0,0,Vendor B,Rooftop,0.0,1163.56,34.9068,1201.0521181204874
13,0,0,Vendor A,Tower,3211972.957320674,2757.04,110.2816,2795.1963987931313
21,0,0,Vendor B,Tower,19909383.35879878,2582.72,103.30879999999999,2406.8564078104355
26,2,1,Vendor B,Rooftop,19892232.34036673,4118.0,123.53999999999999,4158.232597755732
